	GCA_002899375.1_ASM289937v1_protein	GCA_002899415.1_ASM289941v1_protein	GCF_000264275.1_ASM26427v1_protein	GCF_000292365.1_ASM29236v1_protein	GCF_000336425.1_ASM33642v1_protein	GCF_000342205.1_SerMar_1.0_protein	GCF_000418815.1_S_marcescensMC620-1.0_protein	GCF_000418835.1_S_marcescensMC6001-1.0_protein	GCF_000418855.2_S_marcescensMC6000-1.0_protein	GCF_000418875.1_S_marcescensMC460-1.0_protein	GCF_000418895.1_S_marcescensMC459-1.0_protein	GCF_000418915.1_S_marcescensMC458-1.0_protein	GCF_000418935.1_S_marcescensAB42556419-isolate1-1.0_protein	GCF_000442375.1_S.marcescens_LCT-SM262_protein	GCF_000442455.1_S.marcescens_LCT-SM166_protein	GCF_000465615.2_GS_De_Novo_Assembly_protein	GCF_000513215.1_DB11_protein	GCF_000521905.1_Serr_marc_BIDMC_50_V1_protein	GCF_000521925.1_Serr_marc_BIDMC_44_V1_protein	GCF_000633335.1_de_novo_protein	GCF_000633555.1_de_novo_protein	GCF_000633695.1_Serr_marc_BIDMC_81_V1_protein	GCF_000633715.1_Serr_marc_BIDMC_80_V1_protein	GCF_000695485.1_smgenome_protein	GCF_000734475.1_ASM73447v1_protein	GCF_000735445.1_GSMA_DRAFTv1_protein	GCF_000738535.1_ASM73853v1_protein	GCF_000739215.1_ASM73921v1_protein	GCF_000743395.1_SAS_1_protein	GCF_000751195.1_Serratia_assembly_protein	GCF_000783615.1_ASM78361v2_protein	GCF_000783915.2_ASM78391v2_protein	GCF_000783975.2_ASM78397v2_protein	GCF_000805875.1_SmRM66262_v1.0_protein	GCF_000828775.1_ASM82877v1_protein	GCF_001007555.1_2015-04-28_protein	GCF_001022215.1_ASM102221v1_protein	GCF_001030265.1_Serr_marc_BWH57_V1_protein	GCF_001034395.1_Serr_marc_UCI87_V1_protein	GCF_001034405.1_Serr_marc_UCI88_V1_protein	GCF_001051865.1_ASM105186v1_protein	GCF_001060335.1_ASM106033v1_protein	GCF_001060585.1_ASM106058v1_protein	GCF_001060625.1_ASM106062v1_protein	GCF_001060655.1_ASM106065v1_protein	GCF_001061145.1_ASM106114v1_protein	GCF_001061195.1_ASM106119v1_protein	GCF_001061225.1_ASM106122v1_protein	GCF_001062235.1_ASM106223v1_protein	GCF_001062285.1_ASM106228v1_protein	GCF_001063125.1_ASM106312v1_protein	GCF_001063145.1_ASM106314v1_protein	GCF_001063175.1_ASM106317v1_protein	GCF_001063325.1_ASM106332v1_protein	GCF_001063375.1_ASM106337v1_protein	GCF_001064335.1_ASM106433v1_protein	GCF_001064345.1_ASM106434v1_protein	GCF_001064455.1_ASM106445v1_protein	GCF_001064715.1_ASM106471v1_protein	GCF_001064725.1_ASM106472v1_protein	GCF_001064835.1_ASM106483v1_protein	GCF_001064855.1_ASM106485v1_protein	GCF_001064975.1_ASM106497v1_protein	GCF_001065325.1_ASM106532v1_protein	GCF_001065405.1_ASM106540v1_protein	GCF_001065845.1_ASM106584v1_protein	GCF_001065935.1_ASM106593v1_protein	GCF_001066015.1_ASM106601v1_protein	GCF_001066945.1_ASM106694v1_protein	GCF_001067015.1_ASM106701v1_protein	GCF_001067375.1_ASM106737v1_protein	GCF_001068085.1_ASM106808v1_protein	GCF_001076625.1_ASM107662v1_protein	GCF_001280365.1_ASM128036v1_protein	GCF_001294565.1_ASM129456v1_protein	GCF_001317205.2_56_S29v.02_protein	GCF_001317425.2_59_S30v.02_protein	GCF_001417865.2_ASM141786v2_protein	GCF_001643155.1_ASM164315v1_protein	GCF_001853455.1_ASM185345v1_protein	GCF_001853495.1_ASM185349v1_protein	GCF_001889685.1_ASM188968v1_protein	GCF_001902635.1_ASM190263v1_protein	GCF_001908015.1_ASM190801v1_protein	GCF_001908035.1_ASM190803v1_protein	GCF_001909165.1_ASM190916v1_protein	GCF_001932655.1_ASM193265v1_protein	GCF_001940505.1_ASM194050v1_protein	GCF_001975745.1_ASM197574v1_protein	GCF_002007925.1_ASM200792v2_protein	GCF_002029205.1_ASM202920v1_protein	GCF_002029225.1_ASM202922v1_protein	GCF_002094145.1_ASM209414v1_protein	GCF_002104095.1_ASM210409v1_protein	GCF_002104105.1_ASM210410v1_protein	GCF_002104115.1_ASM210411v1_protein	GCF_002108655.1_ASM210865v1_protein	GCF_002118055.1_ASM211805v1_protein	GCF_002152845.1_ASM215284v1_protein	GCF_002153355.1_ASM215335v1_protein	GCF_002205475.1_ASM220547v1_protein	GCF_002220515.1_ASM222051v1_protein	GCF_002220535.1_ASM222053v1_protein	GCF_002220555.1_ASM222055v1_protein	GCF_002220575.1_ASM222057v1_protein	GCF_002220595.1_ASM222059v1_protein	GCF_002220615.1_ASM222061v1_protein	GCF_002220635.1_ASM222063v1_protein	GCF_002220655.1_ASM222065v1_protein	GCF_002220675.1_ASM222067v1_protein	GCF_002220695.1_ASM222069v1_protein	GCF_002220715.1_ASM222071v1_protein	GCF_002250685.1_ASM225068v1_protein	GCF_002264105.1_ASM226410v1_protein	GCF_002264175.1_ASM226417v1_protein	GCF_002264285.1_ASM226428v1_protein	GCF_002265665.1_ASM226566v1_protein	GCF_002592035.1_ASM259203v1_protein	GCF_002738105.1_ASM273810v1_protein	GCF_002738145.1_ASM273814v1_protein	GCF_002738155.1_ASM273815v1_protein	GCF_002738185.1_ASM273818v1_protein	GCF_002762595.1_ASM276259v1_protein	GCF_002810285.1_ASM281028v1_protein	GCF_002886905.1_ASM288690v1_protein	GCF_002887105.1_ASM288710v1_protein	GCF_002899335.1_ASM289933v1_protein	GCF_002899355.1_ASM289935v1_protein	GCF_002899365.1_ASM289936v1_protein	GCF_002915435.1_ASM291543v1_protein	GCF_002915445.1_ASM291544v1_protein	GCF_002915475.1_ASM291547v1_protein	GCF_002920335.1_ASM292033v1_protein	GCF_002920345.1_ASM292034v1_protein	GCF_002920375.1_ASM292037v1_protein	GCF_002920385.1_ASM292038v1_protein	GCF_002920415.1_ASM292041v1_protein	GCF_002920435.1_ASM292043v1_protein	GCF_002920455.1_ASM292045v1_protein	GCF_002920475.1_ASM292047v1_protein	GCF_002920485.1_ASM292048v1_protein	GCF_002920515.1_ASM292051v1_protein	GCF_002947235.1_ASM294723v1_protein	GCF_900029885.1_Sm_SMB2099_protein	GCF_900108835.1_SM1978_protein
OG0009454						GCF_000342205.1_SerMar|WP_033645850.1																																																																																																																																											
OG0009455						GCF_000342205.1_SerMar|WP_033645910.1																																																																																																																																											
OG0009456						GCF_000342205.1_SerMar|WP_050561925.1																																																																																																																																											
OG0009457						GCF_000342205.1_SerMar|WP_071591454.1																																																																																																																																											
OG0009458						GCF_000342205.1_SerMar|WP_071591455.1																																																																																																																																											
OG0009459						GCF_000342205.1_SerMar|WP_071591472.1																																																																																																																																											
OG0009460						GCF_000342205.1_SerMar|WP_100245513.1																																																																																																																																											
OG0009461						GCF_000342205.1_SerMar|WP_100245525.1																																																																																																																																											
OG0009462						GCF_000342205.1_SerMar|WP_100245527.1																																																																																																																																											
OG0009463						GCF_000342205.1_SerMar|WP_100245528.1																																																																																																																																											
OG0009464						GCF_000342205.1_SerMar|WP_100245529.1																																																																																																																																											
OG0009465								GCF_000418835.1_S|WP_080035125.1																																																																																																																																									
OG0009466										GCF_000418875.1_S|WP_038882215.1																																																																																																																																							
OG0009467										GCF_000418875.1_S|WP_080213442.1																																																																																																																																							
OG0009468											GCF_000418895.1_S|WP_038876371.1																																																																																																																																						
OG0009469											GCF_000418895.1_S|WP_080217177.1																																																																																																																																						
OG0009470												GCF_000418915.1_S|WP_038883442.1																																																																																																																																					
OG0009471												GCF_000418915.1_S|WP_038883464.1																																																																																																																																					
OG0009472												GCF_000418915.1_S|WP_038883468.1																																																																																																																																					
OG0009473												GCF_000418915.1_S|WP_038883492.1																																																																																																																																					
OG0009474												GCF_000418915.1_S|WP_071605600.1																																																																																																																																					
OG0009475													GCF_000418935.1_S|WP_002253904.1																																																																																																																																				
OG0009476													GCF_000418935.1_S|WP_025463322.1																																																																																																																																				
OG0009477														GCF_000442375.1_S.marcescens|WP_028127365.1																																																																																																																																			
OG0009478														GCF_000442375.1_S.marcescens|WP_028127826.1																																																																																																																																			
OG0009479														GCF_000442375.1_S.marcescens|WP_028128226.1																																																																																																																																			
OG0009480														GCF_000442375.1_S.marcescens|WP_042789728.1																																																																																																																																			
OG0009481														GCF_000442375.1_S.marcescens|WP_042789777.1																																																																																																																																			
OG0009482														GCF_000442375.1_S.marcescens|WP_042789806.1																																																																																																																																			
OG0009483														GCF_000442375.1_S.marcescens|WP_042790251.1																																																																																																																																			
OG0009484																GCF_000465615.2_GS_De_Novo|WP_033650068.1																																																																																																																																	
OG0009485																	GCF_000513215.1|WP_025302366.1																																																																																																																																
OG0009486																	GCF_000513215.1|WP_025305073.1																																																																																																																																
OG0009487																	GCF_000513215.1|WP_071826127.1																																																																																																																																
OG0009488																	GCF_000513215.1|WP_071826131.1																																																																																																																																
OG0009489																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_023336711.1																																																																																																																															
OG0009490																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_032645186.1																																																																																																																															
OG0009491																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_033641702.1																																																																																																																															
OG0009492																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_033641703.1																																																																																																																															
OG0009493																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_033641705.1																																																																																																																															
OG0009494																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_033641706.1																																																																																																																															
OG0009495																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_033643471.1																																																																																																																															
OG0009496																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_033644913.1																																																																																																																															
OG0009497																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_050594398.1																																																																																																																															
OG0009498																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_071991648.1																																																																																																																															
OG0009499																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_071991670.1																																																																																																																															
OG0009500																		GCF_000521905.1_Serr_marc_BIDMC_50|WP_071991681.1																																																																																																																															
OG0009501																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033634738.1																																																																																																																														
OG0009502																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033634739.1																																																																																																																														
OG0009503																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033634745.1																																																																																																																														
OG0009504																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033635163.1																																																																																																																														
OG0009505																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033637144.1																																																																																																																														
OG0009506																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033637145.1																																																																																																																														
OG0009507																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033637891.1																																																																																																																														
OG0009508																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033638073.1																																																																																																																														
OG0009509																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033638085.1																																																																																																																														
OG0009510																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033638092.1																																																																																																																														
OG0009511																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033638109.1																																																																																																																														
OG0009512																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033638461.1																																																																																																																														
OG0009513																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033638500.1																																																																																																																														
OG0009514																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_033638668.1																																																																																																																														
OG0009515																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_050595940.1																																																																																																																														
OG0009516																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_072022394.1																																																																																																																														
OG0009517																			GCF_000521925.1_Serr_marc_BIDMC_44|WP_072022396.1																																																																																																																														
OG0009518																						GCF_000633695.1_Serr_marc_BIDMC_81|WP_033652222.1																																																																																																																											
OG0009519																						GCF_000633695.1_Serr_marc_BIDMC_81|WP_033652236.1																																																																																																																											
OG0009520																						GCF_000633695.1_Serr_marc_BIDMC_81|WP_033652625.1																																																																																																																											
OG0009521																						GCF_000633695.1_Serr_marc_BIDMC_81|WP_050440123.1																																																																																																																											
OG0009522																							GCF_000633715.1_Serr_marc_BIDMC_80|WP_033646519.1																																																																																																																										
OG0009523																							GCF_000633715.1_Serr_marc_BIDMC_80|WP_033646520.1																																																																																																																										
OG0009524																							GCF_000633715.1_Serr_marc_BIDMC_80|WP_071998138.1																																																																																																																										
OG0009525																								GCF_000695485.1|WP_028130702.1																																																																																																																									
OG0009526																								GCF_000695485.1|WP_028130706.1																																																																																																																									
OG0009527																								GCF_000695485.1|WP_028130709.1																																																																																																																									
OG0009528																									GCF_000734475.1|WP_033653011.1																																																																																																																								
OG0009529																									GCF_000734475.1|WP_072008372.1																																																																																																																								
OG0009530																									GCF_000734475.1|WP_072008380.1																																																																																																																								
OG0009531																											GCF_000738535.1|WP_043135387.1																																																																																																																						
OG0009532																											GCF_000738535.1|WP_043135431.1																																																																																																																						
OG0009533																											GCF_000738535.1|WP_043137873.1																																																																																																																						
OG0009534																											GCF_000738535.1|WP_043139387.1																																																																																																																						
OG0009535																											GCF_000738535.1|WP_043139395.1																																																																																																																						
OG0009536																											GCF_000738535.1|WP_043139404.1																																																																																																																						
OG0009537																											GCF_000738535.1|WP_043139409.1																																																																																																																						
OG0009538																											GCF_000738535.1|WP_043139414.1																																																																																																																						
OG0009539																											GCF_000738535.1|WP_043139417.1																																																																																																																						
OG0009540																											GCF_000738535.1|WP_043139504.1																																																																																																																						
OG0009541																											GCF_000738535.1|WP_043140592.1																																																																																																																						
OG0009542																											GCF_000738535.1|WP_043140596.1																																																																																																																						
OG0009543																											GCF_000738535.1|WP_043142847.1																																																																																																																						
OG0009544																											GCF_000738535.1|WP_043143857.1																																																																																																																						
OG0009545																											GCF_000738535.1|WP_043143860.1																																																																																																																						
OG0009546																											GCF_000738535.1|WP_043143921.1																																																																																																																						
OG0009547																											GCF_000738535.1|WP_043143976.1																																																																																																																						
OG0009548																											GCF_000738535.1|WP_043144001.1																																																																																																																						
OG0009549																											GCF_000738535.1|WP_043144004.1																																																																																																																						
OG0009550																											GCF_000738535.1|WP_043144055.1																																																																																																																						
OG0009551																											GCF_000738535.1|WP_043144058.1																																																																																																																						
OG0009552																											GCF_000738535.1|WP_050505136.1																																																																																																																						
OG0009553																											GCF_000738535.1|WP_050505165.1																																																																																																																						
OG0009554																											GCF_000738535.1|WP_050505207.1																																																																																																																						
OG0009555																											GCF_000738535.1|WP_072008290.1																																																																																																																						
OG0009556																											GCF_000738535.1|WP_072008296.1																																																																																																																						
OG0009557																											GCF_000738535.1|WP_080287129.1																																																																																																																						
OG0009558																											GCF_000738535.1|WP_080287148.1																																																																																																																						
OG0009559																												GCF_000739215.1|WP_043147337.1																																																																																																																					
OG0009560																												GCF_000739215.1|WP_043147755.1																																																																																																																					
OG0009561																												GCF_000739215.1|WP_043148429.1																																																																																																																					
OG0009562																												GCF_000739215.1|WP_072010263.1																																																																																																																					
OG0009563																												GCF_000739215.1|WP_080289014.1																																																																																																																					
OG0009564																															GCF_000783615.1|WP_060387659.1																																																																																																																		
OG0009565																															GCF_000783615.1|WP_101428074.1																																																																																																																		
