	GCA_002899375.1_ASM289937v1_protein	GCA_002899415.1_ASM289941v1_protein	GCF_000264275.1_ASM26427v1_protein	GCF_000292365.1_ASM29236v1_protein	GCF_000336425.1_ASM33642v1_protein	GCF_000342205.1_SerMar_1.0_protein	GCF_000418815.1_S_marcescensMC620-1.0_protein	GCF_000418835.1_S_marcescensMC6001-1.0_protein	GCF_000418855.2_S_marcescensMC6000-1.0_protein	GCF_000418875.1_S_marcescensMC460-1.0_protein	GCF_000418895.1_S_marcescensMC459-1.0_protein	GCF_000418915.1_S_marcescensMC458-1.0_protein	GCF_000418935.1_S_marcescensAB42556419-isolate1-1.0_protein	GCF_000442375.1_S.marcescens_LCT-SM262_protein	GCF_000442455.1_S.marcescens_LCT-SM166_protein	GCF_000465615.2_GS_De_Novo_Assembly_protein	GCF_000513215.1_DB11_protein	GCF_000521905.1_Serr_marc_BIDMC_50_V1_protein	GCF_000521925.1_Serr_marc_BIDMC_44_V1_protein	GCF_000633335.1_de_novo_protein	GCF_000633555.1_de_novo_protein	GCF_000633695.1_Serr_marc_BIDMC_81_V1_protein	GCF_000633715.1_Serr_marc_BIDMC_80_V1_protein	GCF_000695485.1_smgenome_protein	GCF_000734475.1_ASM73447v1_protein	GCF_000735445.1_GSMA_DRAFTv1_protein	GCF_000738535.1_ASM73853v1_protein	GCF_000739215.1_ASM73921v1_protein	GCF_000743395.1_SAS_1_protein	GCF_000751195.1_Serratia_assembly_protein	GCF_000783615.1_ASM78361v2_protein	GCF_000783915.2_ASM78391v2_protein	GCF_000783975.2_ASM78397v2_protein	GCF_000805875.1_SmRM66262_v1.0_protein	GCF_000828775.1_ASM82877v1_protein	GCF_001007555.1_2015-04-28_protein	GCF_001022215.1_ASM102221v1_protein	GCF_001030265.1_Serr_marc_BWH57_V1_protein	GCF_001034395.1_Serr_marc_UCI87_V1_protein	GCF_001034405.1_Serr_marc_UCI88_V1_protein	GCF_001051865.1_ASM105186v1_protein	GCF_001060335.1_ASM106033v1_protein	GCF_001060585.1_ASM106058v1_protein	GCF_001060625.1_ASM106062v1_protein	GCF_001060655.1_ASM106065v1_protein	GCF_001061145.1_ASM106114v1_protein	GCF_001061195.1_ASM106119v1_protein	GCF_001061225.1_ASM106122v1_protein	GCF_001062235.1_ASM106223v1_protein	GCF_001062285.1_ASM106228v1_protein	GCF_001063125.1_ASM106312v1_protein	GCF_001063145.1_ASM106314v1_protein	GCF_001063175.1_ASM106317v1_protein	GCF_001063325.1_ASM106332v1_protein	GCF_001063375.1_ASM106337v1_protein	GCF_001064335.1_ASM106433v1_protein	GCF_001064345.1_ASM106434v1_protein	GCF_001064455.1_ASM106445v1_protein	GCF_001064715.1_ASM106471v1_protein	GCF_001064725.1_ASM106472v1_protein	GCF_001064835.1_ASM106483v1_protein	GCF_001064855.1_ASM106485v1_protein	GCF_001064975.1_ASM106497v1_protein	GCF_001065325.1_ASM106532v1_protein	GCF_001065405.1_ASM106540v1_protein	GCF_001065845.1_ASM106584v1_protein	GCF_001065935.1_ASM106593v1_protein	GCF_001066015.1_ASM106601v1_protein	GCF_001066945.1_ASM106694v1_protein	GCF_001067015.1_ASM106701v1_protein	GCF_001067375.1_ASM106737v1_protein	GCF_001068085.1_ASM106808v1_protein	GCF_001076625.1_ASM107662v1_protein	GCF_001280365.1_ASM128036v1_protein	GCF_001294565.1_ASM129456v1_protein	GCF_001317205.2_56_S29v.02_protein	GCF_001317425.2_59_S30v.02_protein	GCF_001417865.2_ASM141786v2_protein	GCF_001643155.1_ASM164315v1_protein	GCF_001853455.1_ASM185345v1_protein	GCF_001853495.1_ASM185349v1_protein	GCF_001889685.1_ASM188968v1_protein	GCF_001902635.1_ASM190263v1_protein	GCF_001908015.1_ASM190801v1_protein	GCF_001908035.1_ASM190803v1_protein	GCF_001909165.1_ASM190916v1_protein	GCF_001932655.1_ASM193265v1_protein	GCF_001940505.1_ASM194050v1_protein	GCF_001975745.1_ASM197574v1_protein	GCF_002007925.1_ASM200792v2_protein	GCF_002029205.1_ASM202920v1_protein	GCF_002029225.1_ASM202922v1_protein	GCF_002094145.1_ASM209414v1_protein	GCF_002104095.1_ASM210409v1_protein	GCF_002104105.1_ASM210410v1_protein	GCF_002104115.1_ASM210411v1_protein	GCF_002108655.1_ASM210865v1_protein	GCF_002118055.1_ASM211805v1_protein	GCF_002152845.1_ASM215284v1_protein	GCF_002153355.1_ASM215335v1_protein	GCF_002205475.1_ASM220547v1_protein	GCF_002220515.1_ASM222051v1_protein	GCF_002220535.1_ASM222053v1_protein	GCF_002220555.1_ASM222055v1_protein	GCF_002220575.1_ASM222057v1_protein	GCF_002220595.1_ASM222059v1_protein	GCF_002220615.1_ASM222061v1_protein	GCF_002220635.1_ASM222063v1_protein	GCF_002220655.1_ASM222065v1_protein	GCF_002220675.1_ASM222067v1_protein	GCF_002220695.1_ASM222069v1_protein	GCF_002220715.1_ASM222071v1_protein	GCF_002250685.1_ASM225068v1_protein	GCF_002264105.1_ASM226410v1_protein	GCF_002264175.1_ASM226417v1_protein	GCF_002264285.1_ASM226428v1_protein	GCF_002265665.1_ASM226566v1_protein	GCF_002592035.1_ASM259203v1_protein	GCF_002738105.1_ASM273810v1_protein	GCF_002738145.1_ASM273814v1_protein	GCF_002738155.1_ASM273815v1_protein	GCF_002738185.1_ASM273818v1_protein	GCF_002762595.1_ASM276259v1_protein	GCF_002810285.1_ASM281028v1_protein	GCF_002886905.1_ASM288690v1_protein	GCF_002887105.1_ASM288710v1_protein	GCF_002899335.1_ASM289933v1_protein	GCF_002899355.1_ASM289935v1_protein	GCF_002899365.1_ASM289936v1_protein	GCF_002915435.1_ASM291543v1_protein	GCF_002915445.1_ASM291544v1_protein	GCF_002915475.1_ASM291547v1_protein	GCF_002920335.1_ASM292033v1_protein	GCF_002920345.1_ASM292034v1_protein	GCF_002920375.1_ASM292037v1_protein	GCF_002920385.1_ASM292038v1_protein	GCF_002920415.1_ASM292041v1_protein	GCF_002920435.1_ASM292043v1_protein	GCF_002920455.1_ASM292045v1_protein	GCF_002920475.1_ASM292047v1_protein	GCF_002920485.1_ASM292048v1_protein	GCF_002920515.1_ASM292051v1_protein	GCF_002947235.1_ASM294723v1_protein	GCF_900029885.1_Sm_SMB2099_protein	GCF_900108835.1_SM1978_protein
GCF_000418895.1_S_marcescensMC459-1.0_protein	3797	4067	4017	4114	4134	4123	4749	4854	4825	4844	4875	4839	4833	3667	4016	4104	4055	4049	4051	4129	4129	4053	4067	4024	3963	4048	4096	4049	4054	4044	4202	4071	4064	3907	4114	4120	4545	4417	4101	4063	4067	4089	4029	4050	4047	4088	4028	4026	4098	4038	4119	4116	4114	4087	4100	4113	4111	4111	4102	4090	4102	4098	4106	4055	4143	4630	4644	4049	4103	4067	4073	4069	4110	4054	4062	4442	4459	4142	4142	4233	4234	3836	3934	4046	3920	4114	4238	4141	4137	3694	4047	4054	4096	4039	4038	4041	4118	4404	4043	4026	4064	4097	4034	4017	4074	4063	4082	4232	4081	4107	4074	4125	4393	4175	4114	4157	3836	4086	4073	4133	4007	4146	3899	4140	4503	4502	4072	4107	4051	4084	4118	4118	4060	4033	4058	4032	4035	4058	4052	4059	4033	4021	4049	4015	4347
GCF_000418915.1_S_marcescensMC458-1.0_protein	3798	4064	4018	4120	4135	4131	4722	4831	4828	4820	4839	4885	4831	3667	4017	4105	4055	4049	4048	4135	4135	4054	4074	4025	3964	4050	4101	4049	4057	4047	4199	4063	4060	3906	4120	4121	4543	4404	4101	4064	4065	4091	4029	4048	4045	4090	4029	4025	4097	4036	4119	4116	4114	4085	4101	4113	4111	4111	4103	4090	4100	4099	4104	4057	4141	4628	4642	4055	4109	4071	4071	4069	4110	4054	4060	4441	4460	4149	4138	4243	4243	3838	3929	4046	3921	4113	4247	4142	4137	3691	4052	4063	4096	4039	4037	4040	4120	4405	4043	4028	4065	4095	4033	4016	4075	4060	4083	4231	4076	4107	4075	4131	4393	4170	4105	4149	3835	4088	4071	4133	4006	4141	3904	4140	4492	4491	4073	4105	4054	4085	4117	4117	4060	4032	4058	4032	4034	4058	4049	4059	4033	4021	4047	4013	4344
GCF_000418935.1_S_marcescensAB42556419-isolate1-1.0_protein	3793	4059	4011	4108	4128	4117	4717	4825	4823	4815	4833	4831	4841	3661	4010	4099	4050	4043	4044	4123	4123	4047	4063	4018	3957	4042	4090	4044	4048	4038	4196	4060	4056	3902	4106	4114	4535	4397	4094	4059	4062	4084	4022	4044	4041	4082	4021	4018	4092	4030	4113	4110	4108	4080	4096	4107	4105	4105	4098	4083	4095	4094	4099	4050	4135	4618	4632	4046	4101	4063	4067	4061	4104	4048	4053	4428	4447	4136	4132	4225	4226	3829	3926	4043	3914	4107	4230	4135	4131	3687	4042	4048	4089	4031	4030	4033	4113	4393	4037	4021	4059	4091	4029	4010	4067	4057	4077	4225	4070	4101	4067	4118	4387	4164	4103	4146	3832	4080	4065	4124	3997	4130	3895	4131	4486	4485	4067	4099	4045	4078	4112	4112	4054	4027	4052	4026	4029	4052	4045	4053	4027	4015	4042	4009	4336
GCF_000442375.1_S.marcescens_LCT-SM262_protein	3648	3819	4138	3738	3875	3862	3664	3664	3664	3655	3667	3667	3661	4152	4137	3854	3870	3783	3774	3747	3747	3801	3790	4115	3696	3952	3892	3766	3960	3952	3772	3733	3817	3665	3739	3749	3717	3650	3855	3790	3888	3687	3774	3881	3883	3850	3773	3772	3859	3783	3854	3855	3853	3867	3887	3854	3851	3851	3886	3865	3882	3884	3888	3974	3805	3679	3687	3707	3760	3762	3744	3658	3851	3779	3772	3702	3707	3899	3819	3770	3770	3522	3558	3718	3686	3711	3774	3862	3884	3356	4036	4019	3890	3759	3759	3760	3914	3649	3787	3761	3831	3782	3972	3777	3892	3851	3873	3768	3790	3788	3891	3806	3687	3738	3737	3740	3636	3891	3701	3716	3632	3735	3728	3721	3690	3688	3891	3808	3956	3783	3848	3848	3786	3767	3776	3768	3769	3776	3739	3776	3768	3768	3741	3778	3660
GCF_000442455.1_S.marcescens_LCT-SM166_protein	3973	4173	4506	4090	4240	4229	4013	4012	4012	4005	4016	4017	4010	4137	4518	4218	4239	4141	4129	4100	4100	4155	4144	4487	4047	4321	4259	4115	4330	4319	4136	4089	4181	3991	4094	4102	4071	3994	4218	4141	4256	4039	4125	4247	4245	4214	4126	4122	4223	4136	4224	4224	4222	4233	4252	4222	4220	4221	4253	4233	4249	4250	4254	4342	4163	4027	4037	4062	4115	4121	4100	4009	4219	4141	4122	4056	4060	4264	4182	4135	4135	3842	3898	4071	4027	4064	4139	4227	4252	3654	4402	4388	4256	4108	4108	4109	4281	3998	4140	4115	4196	4144	4345	4129	4259	4215	4239	4129	4143	4145	4258	4170	4038	4092	4090	4095	3949	4257	4053	4066	3968	4084	4049	4070	4041	4039	4260	4171	4327	4141	4214	4214	4139	4123	4129	4124	4126	4128	4096	4129	4125	4122	4098	4132	4005
GCF_000465615.2_GS_De_Novo_Assembly_protein	4091	4294	4222	4182	4482	4335	4102	4100	4100	4093	4104	4105	4099	3854	4218	4570	4211	4201	4135	4191	4192	4182	4139	4225	4077	4266	4200	4115	4273	4261	4234	4134	4208	3973	4110	4171	4122	4081	4323	4138	4251	4071	4118	4202	4199	4311	4120	4116	4321	4131	4348	4349	4347	4186	4205	4347	4346	4344	4208	4186	4202	4203	4206	4262	4298	4111	4123	4037	4090	4099	4132	4070	4344	4185	4107	4114	4116	4320	4187	4211	4211	3875	3944	4119	3988	4188	4215	4445	4476	3732	4224	4250	4334	4116	4116	4117	4369	4111	4116	4115	4395	4185	4259	4088	4225	4185	4203	4213	4140	4150	4224	4211	4108	4146	4145	4151	4277	4319	4094	4086	3999	4068	4173	4092	4135	4134	4383	4240	4269	4189	4306	4306	4096	4136	4115	4140	4142	4114	4128	4115	4142	4100	4126	4114	4058
GCF_000513215.1_DB11_protein	3965	4166	4239	4123	4232	4243	4052	4051	4050	4043	4055	4055	4050	3870	4239	4211	4595	4158	4127	4134	4134	4153	4149	4246	4079	4257	4402	4132	4266	4255	4177	4136	4207	4006	4127	4129	4089	4041	4223	4154	4406	4079	4130	4408	4405	4198	4131	4127	4205	4141	4234	4234	4232	4365	4384	4232	4230	4230	4386	4365	4381	4382	4385	4248	4161	4093	4103	4077	4135	4137	4149	4068	4229	4189	4157	4124	4132	4282	4238	4228	4229	3873	3928	4116	4052	4121	4234	4232	4239	3702	4279	4241	4265	4131	4131	4133	4279	4031	4129	4093	4184	4184	4263	4142	4417	4405	4400	4176	4165	4138	4416	4186	4075	4140	4140	4145	3937	4271	4105	4126	3985	4105	4047	4130	4091	4088	4253	4188	4260	4156	4220	4220	4145	4166	4156	4166	4169	4156	4137	4156	4167	4133	4140	4123	4069
GCF_000521905.1_Serr_marc_BIDMC_50_V1_protein	3924	4155	4143	4106	4200	4182	4047	4047	4044	4037	4049	4049	4043	3783	4141	4201	4158	4545	4114	4116	4117	4363	4150	4151	4066	4166	4163	4132	4175	4166	4225	4137	4409	3991	4137	4297	4126	4049	4178	4157	4206	4011	4115	4160	4156	4184	4115	4112	4194	4126	4204	4202	4202	4157	4173	4202	4199	4201	4175	4157	4170	4172	4174	4139	4127	4067	4079	4051	4104	4108	4131	4026	4199	4428	4131	4124	4126	4182	4152	4223	4224	4002	3928	4124	4024	4148	4228	4194	4208	3751	4172	4181	4198	4124	4124	4126	4208	4115	4135	4074	4123	4411	4182	4114	4190	4151	4171	4230	4165	4307	4189	4429	4109	4144	4143	4149	3935	4184	4085	4109	4231	4084	3968	4117	4138	4138	4210	4439	4171	4490	4176	4176	4106	4139	4104	4142	4145	4105	4124	4104	4144	4095	4124	4119	4068
GCF_000521925.1_Serr_marc_BIDMC_44_V1_protein	3871	4081	4130	4106	4168	4154	4047	4047	4046	4040	4051	4048	4044	3774	4129	4135	4127	4114	4657	4119	4119	4133	4382	4140	4206	4115	4182	4298	4122	4111	4292	4294	4166	4158	4258	4154	4108	3998	4158	4328	4156	4086	4282	4124	4122	4107	4283	4281	4116	4296	4153	4151	4150	4162	4180	4150	4149	4148	4182	4165	4178	4180	4182	4211	4100	4054	4064	4219	4279	4289	4326	4025	4146	4142	4308	4117	4134	4247	4201	4229	4230	3835	3931	4258	4163	4073	4235	4150	4167	3766	4211	4191	4180	4285	4285	4288	4192	4100	4317	4338	4087	4203	4148	4271	4209	4123	4150	4247	4332	4134	4207	4172	4104	4286	4280	4284	3869	4201	4235	4276	3970	4281	3978	4281	4093	4092	4151	4231	4117	4179	4130	4130	4311	4292	4306	4293	4297	4307	4273	4307	4296	4260	4318	4254	4063
GCF_000633335.1_de_novo_protein	3908	4120	4103	4714	4225	4219	4119	4123	4124	4116	4129	4135	4123	3747	4100	4191	4134	4116	4119	4734	4731	4131	4157	4110	4036	4134	4182	4108	4143	4133	4336	4134	4160	3982	4173	4143	4182	4072	4191	4118	4134	4178	4102	4125	4123	4141	4103	4099	4149	4111	4218	4215	4214	4141	4160	4214	4210	4210	4162	4144	4159	4158	4161	4139	4159	4145	4158	4042	4097	4103	4166	4109	4210	4127	4157	4203	4214	4249	4183	4310	4311	3878	4011	4079	4002	4209	4315	4224	4236	3804	4202	4147	4208	4091	4091	4094	4226	4120	4091	4100	4163	4164	4163	4094	4163	4129	4148	4293	4172	4125	4162	4165	4153	4143	4134	4141	3923	4208	4063	4096	3991	4099	4027	4105	4169	4161	4185	4167	4140	4156	4190	4190	4124	4090	4095	4090	4093	4096	4134	4095	4091	4094	4149	4088	4125
GCF_000633555.1_de_novo_protein	3908	4120	4102	4716	4226	4220	4120	4124	4124	4116	4129	4135	4123	3747	4100	4192	4134	4117	4119	4731	4735	4131	4157	4109	4036	4133	4182	4108	4142	4132	4336	4133	4160	3981	4173	4143	4182	4073	4192	4118	4134	4177	4101	4125	4123	4142	4102	4098	4150	4111	4218	4215	4214	4140	4160	4214	4211	4211	4162	4143	4158	4158	4161	4139	4159	4146	4159	4041	4096	4102	4167	4108	4210	4127	4157	4205	4216	4250	4183	4310	4311	3878	4010	4079	4001	4209	4315	4226	4236	3803	4201	4147	4208	4091	4091	4093	4227	4122	4091	4100	4164	4165	4163	4094	4163	4129	4148	4293	4172	4126	4162	4166	4153	4143	4134	4141	3923	4208	4063	4096	3992	4098	4027	4105	4169	4161	4186	4167	4139	4157	4190	4190	4123	4089	4094	4089	4092	4095	4134	4094	4090	4094	4149	4088	4127
GCF_000633695.1_Serr_marc_BIDMC_81_V1_protein	3949	4136	4155	4120	4203	4190	4051	4050	4049	4042	4053	4054	4047	3801	4155	4182	4153	4363	4133	4131	4131	4563	4146	4163	4064	4174	4150	4122	4182	4172	4240	4125	4390	3978	4131	4315	4139	4054	4164	4149	4198	4040	4143	4125	4122	4168	4143	4139	4178	4153	4224	4223	4222	4138	4156	4222	4219	4217	4158	4141	4155	4155	4157	4159	4114	4063	4075	4076	4127	4135	4147	4024	4218	4347	4114	4143	4145	4219	4120	4218	4218	4059	3956	4120	4015	4139	4222	4212	4218	3708	4175	4181	4233	4118	4117	4121	4229	4103	4133	4115	4121	4357	4177	4102	4175	4145	4149	4189	4158	4370	4174	4369	4126	4128	4126	4131	3918	4222	4071	4096	4178	4089	3996	4103	4134	4132	4231	4378	4178	4354	4163	4163	4132	4135	4113	4139	4141	4113	4148	4113	4141	4133	4144	4137	4081
GCF_000633715.1_Serr_marc_BIDMC_80_V1_protein	3895	4102	4146	4145	4164	4157	4059	4061	4066	4058	4067	4074	4063	3790	4144	4139	4149	4150	4382	4157	4157	4146	4741	4154	4267	4152	4259	4482	4161	4150	4322	4327	4172	4270	4356	4179	4135	4037	4160	4505	4211	4116	4389	4168	4165	4134	4389	4386	4144	4401	4161	4160	4158	4202	4221	4158	4157	4157	4223	4206	4219	4220	4222	4233	4088	4075	4085	4262	4321	4327	4440	4070	4154	4145	4424	4141	4165	4225	4266	4276	4276	3841	3930	4310	4297	4083	4280	4200	4183	3793	4229	4229	4190	4510	4510	4511	4189	4129	4444	4327	4071	4193	4230	4387	4235	4161	4169	4305	4476	4162	4234	4208	4099	4344	4337	4345	3870	4182	4293	4354	3990	4409	4009	4360	4130	4119	4182	4242	4158	4191	4125	4125	4350	4347	4323	4352	4354	4322	4388	4323	4354	4314	4430	4392	4098
GCF_000695485.1_smgenome_protein	3983	4182	4489	4099	4247	4240	4020	4019	4021	4013	4024	4025	4018	4115	4487	4225	4246	4151	4140	4110	4109	4163	4154	4504	4051	4334	4265	4123	4343	4331	4147	4098	4192	4001	4103	4112	4079	3999	4229	4153	4262	4047	4134	4252	4250	4223	4135	4131	4233	4144	4232	4232	4230	4242	4260	4230	4227	4228	4261	4242	4258	4258	4262	4348	4172	4035	4045	4072	4125	4131	4110	4020	4228	4152	4130	4064	4067	4273	4193	4144	4144	3847	3909	4079	4033	4075	4148	4234	4261	3661	4410	4399	4266	4119	4119	4121	4292	4006	4148	4120	4206	4152	4355	4135	4263	4222	4245	4138	4150	4153	4262	4177	4050	4101	4099	4104	3954	4267	4058	4075	3978	4092	4053	4079	4050	4048	4270	4180	4339	4149	4225	4225	4145	4130	4136	4131	4133	4135	4106	4136	4132	4130	4106	4141	4014
GCF_000734475.1_ASM73447v1_protein	3823	4005	4048	4025	4089	4076	3962	3959	3959	3953	3963	3964	3957	3696	4047	4077	4079	4066	4206	4036	4036	4064	4267	4051	4515	4068	4117	4240	4074	4064	4158	4273	4129	4097	4271	4064	4038	3951	4040	4252	4121	4026	4283	4072	4069	4046	4285	4280	4055	4296	4114	4113	4111	4078	4097	4111	4110	4108	4099	4083	4095	4096	4098	4075	4020	3980	3990	4187	4246	4255	4327	4018	4107	4091	4256	4055	4061	4118	4165	4191	4191	3767	3878	4261	4133	4010	4195	4095	4129	3690	4085	4098	4145	4229	4228	4230	4131	4009	4234	4197	4015	4084	4097	4219	4105	4083	4091	4139	4282	4058	4104	4098	4037	4279	4277	4280	3814	4119	4418	4275	3930	4220	3893	4277	4034	4032	4106	4114	4069	4071	4031	4031	4302	4308	4296	4312	4314	4296	4295	4296	4314	4292	4287	4261	4004
GCF_000735445.1_GSMA_DRAFTv1_protein	4020	4224	4324	4122	4299	4249	4031	4043	4043	4035	4048	4050	4042	3952	4321	4266	4257	4166	4115	4134	4133	4174	4152	4334	4068	4574	4264	4127	4571	4557	4186	4107	4187	3977	4137	4125	4102	4050	4253	4150	4294	4060	4139	4246	4244	4259	4139	4135	4269	4149	4255	4255	4253	4263	4281	4253	4251	4251	4283	4263	4280	4279	4284	4347	4163	4053	4065	4059	4111	4117	4141	4070	4250	4148	4116	4088	4088	4294	4213	4207	4206	3885	3944	4099	3995	4089	4211	4299	4308	3687	4346	4381	4295	4128	4126	4129	4312	4068	4137	4102	4207	4146	4398	4092	4276	4242	4256	4167	4158	4156	4275	4187	4069	4148	4135	4154	3992	4273	4091	4095	3987	4088	4072	4101	4102	4098	4311	4189	4563	4160	4248	4248	4110	4124	4104	4128	4130	4104	4134	4104	4130	4100	4125	4146	4047
GCF_000738535.1_ASM73853v1_protein	3951	4155	4261	4169	4224	4274	4081	4092	4091	4084	4096	4101	4090	3892	4259	4200	4402	4163	4182	4182	4182	4150	4259	4265	4117	4264	4749	4160	4273	4263	4237	4158	4224	4028	4169	4198	4153	4068	4249	4175	4426	4151	4160	4445	4444	4218	4161	4158	4225	4173	4251	4251	4249	4419	4439	4249	4247	4247	4440	4419	4434	4437	4439	4295	4198	4088	4098	4154	4207	4157	4202	4082	4247	4184	4174	4145	4152	4332	4255	4237	4238	3890	3959	4128	4077	4127	4242	4239	4249	3756	4326	4330	4266	4149	4149	4151	4278	4103	4153	4162	4174	4224	4300	4157	4464	4435	4456	4273	4188	4151	4463	4264	4095	4188	4151	4159	3926	4269	4142	4202	4027	4191	4089	4208	4136	4132	4240	4228	4268	4209	4213	4213	4170	4153	4154	4153	4156	4154	4142	4154	4154	4146	4188	4139	4086
GCF_000739215.1_ASM73921v1_protein	3872	4103	4117	4098	4142	4112	4045	4042	4045	4037	4049	4049	4044	3766	4115	4115	4132	4132	4298	4108	4108	4122	4482	4123	4240	4127	4160	4595	4135	4124	4243	4292	4145	4267	4337	4137	4091	3997	4104	4486	4194	4031	4366	4140	4137	4103	4366	4364	4113	4378	4158	4158	4156	4132	4150	4156	4155	4154	4152	4135	4148	4149	4151	4176	4060	4053	4063	4234	4291	4302	4335	4052	4153	4143	4434	4099	4104	4134	4254	4246	4247	3819	3903	4292	4284	4067	4250	4151	4149	3740	4147	4144	4151	4438	4439	4443	4149	4071	4443	4267	4052	4148	4155	4389	4168	4160	4148	4231	4470	4134	4168	4163	4074	4309	4305	4311	3848	4139	4265	4283	3959	4370	3926	4287	4104	4103	4155	4182	4130	4126	4110	4110	4306	4334	4308	4337	4341	4309	4359	4309	4340	4296	4328	4364	4047
GCF_000743395.1_SAS_1_protein	4028	4233	4333	4131	4306	4258	4037	4049	4050	4042	4054	4057	4048	3960	4330	4273	4266	4175	4122	4143	4142	4182	4161	4343	4074	4571	4273	4135	4582	4567	4194	4114	4195	3985	4145	4134	4108	4057	4260	4159	4303	4069	4144	4255	4253	4268	4145	4141	4278	4155	4263	4263	4261	4271	4289	4261	4259	4259	4291	4271	4288	4287	4292	4355	4171	4060	4072	4064	4116	4123	4148	4079	4258	4156	4123	4096	4097	4302	4221	4215	4214	3892	3950	4105	4003	4097	4219	4307	4316	3694	4354	4390	4303	4136	4134	4137	4320	4074	4144	4109	4214	4155	4408	4100	4285	4250	4264	4176	4166	4163	4284	4196	4077	4154	4141	4160	3997	4281	4097	4102	3997	4095	4079	4108	4110	4106	4319	4197	4572	4170	4256	4256	4117	4130	4110	4134	4136	4110	4141	4110	4136	4107	4132	4153	4055
GCF_000751195.1_Serratia_assembly_protein	4017	4223	4322	4121	4292	4245	4027	4039	4040	4032	4044	4047	4038	3952	4319	4261	4255	4166	4111	4133	4132	4172	4150	4331	4064	4557	4263	4124	4567	4572	4184	4103	4184	3974	4134	4126	4098	4046	4248	4148	4292	4060	4133	4244	4242	4256	4134	4130	4266	4144	4251	4251	4249	4261	4279	4249	4247	4247	4281	4261	4278	4277	4282	4343	4158	4050	4062	4053	4105	4112	4137	4069	4246	4147	4112	4088	4087	4291	4209	4206	4205	3885	3941	4095	3992	4087	4210	4293	4303	3686	4341	4378	4292	4125	4123	4126	4308	4064	4133	4099	4201	4145	4397	4089	4273	4240	4254	4166	4156	4155	4272	4186	4068	4143	4130	4149	3988	4270	4086	4090	3988	4083	4072	4096	4099	4095	4307	4186	4560	4159	4243	4243	4106	4119	4100	4123	4125	4100	4130	4100	4125	4096	4121	4142	4044
GCF_000783615.1_ASM78361v2_protein	3967	4176	4146	4337	4267	4266	4198	4197	4197	4189	4202	4199	4196	3772	4136	4234	4177	4225	4292	4336	4336	4240	4322	4147	4158	4186	4237	4243	4194	4184	4796	4290	4272	4081	4248	4260	4276	4147	4226	4259	4218	4223	4230	4186	4183	4178	4230	4226	4187	4240	4281	4281	4279	4215	4232	4278	4276	4276	4234	4218	4230	4231	4235	4233	4172	4202	4215	4140	4198	4203	4287	4155	4275	4220	4276	4300	4310	4270	4293	4494	4494	3915	4055	4209	4099	4236	4499	4270	4303	3971	4247	4216	4243	4229	4229	4232	4252	4257	4244	4256	4182	4307	4226	4196	4251	4184	4172	4480	4322	4223	4251	4278	4260	4282	4278	4283	3959	4246	4190	4213	4085	4224	4064	4220	4276	4270	4251	4331	4203	4297	4214	4214	4254	4235	4225	4238	4241	4226	4254	4226	4240	4211	4286	4221	4219
GCF_000783915.2_ASM78391v2_protein	3882	4093	4101	4132	4158	4153	4068	4066	4061	4059	4071	4063	4060	3733	4089	4134	4136	4137	4294	4134	4133	4125	4327	4098	4273	4107	4158	4292	4114	4103	4290	4654	4197	4153	4355	4120	4120	4044	4118	4316	4172	4067	4292	4144	4141	4110	4293	4290	4119	4304	4153	4152	4150	4132	4150	4150	4148	4146	4152	4135	4149	4149	4151	4099	4087	4071	4083	4235	4295	4304	4340	4053	4146	4153	4355	4156	4165	4176	4231	4254	4255	3813	3941	4323	4191	4083	4259	4161	4168	3747	4157	4132	4179	4298	4298	4300	4193	4103	4294	4251	4083	4167	4141	4284	4177	4147	4153	4216	4381	4110	4176	4173	4133	4581	4582	4585	3873	4205	4301	4335	3999	4311	3938	4339	4125	4122	4163	4206	4122	4166	4127	4127	4346	4359	4350	4361	4364	4350	4338	4350	4363	4315	4334	4287	4077
GCF_000783975.2_ASM78397v2_protein	3967	4171	4196	4160	4227	4241	4061	4060	4058	4051	4064	4060	4056	3817	4181	4208	4207	4409	4166	4160	4160	4390	4172	4192	4129	4187	4224	4145	4195	4184	4272	4197	4616	4007	4155	4311	4143	4041	4195	4166	4232	4054	4157	4189	4187	4183	4157	4154	4192	4167	4249	4248	4247	4181	4199	4247	4243	4244	4201	4184	4197	4198	4200	4177	4166	4078	4088	4099	4153	4161	4186	4036	4245	4426	4181	4167	4172	4259	4200	4271	4272	4013	3952	4143	4045	4165	4276	4225	4263	3754	4210	4216	4268	4136	4136	4139	4279	4109	4159	4127	4160	4427	4194	4147	4231	4208	4202	4232	4197	4337	4230	4442	4146	4175	4173	4175	3943	4266	4137	4154	4274	4151	4033	4161	4147	4144	4254	4470	4204	4429	4204	4204	4164	4172	4152	4174	4177	4153	4176	4152	4176	4157	4173	4145	4095
